,text_employer,category,pred
9744,добрый_день максим персональный_менеджер сбер бизнес беспокоить звонить индивидуальный_предприниматель удобно разговаривать перезвонить удобно комфортный обсудить ранее разговаривать хотеть уточнить расчётный счёт смотреть открыть онлайн касса эквайринг хотеть направить адрес закрыться уточнить обратный связь решить прислать вывод банк устроить сбербанк_обслуживание смочь помочь оптимизация перевод личный_карта рассматривать физический_лицо дополнительный средство получаться комиссия бизнес понять обратный связь сбербанк стараться улучшать сервис звонок записываться любой случай обратный связь рассматриваться прослушиваться максим сказать потребоваться контактный дать дальнейший сопровождение возможно поменять решение сторона сбербанк направить смс сообщение контактный дать возникнуть любой вопрос сервис далее подключение продукт рада мой дистанционно хороший день наступать праздник добрый,Эквайринг,Зарплатные проекты
9765,добрый_день звать сбербанк прописать собираться ваш персональный_менеджер звонить индивидуальный_предприниматель удобно последний неактивный пользоваться свой расчётный счёт сбербанк хотеть уточнить связать вопрос возникнуть помочь счёт друг банк обращаться вопрос обращаться номер номер эквайринг обращаться понять э терминал личный который функция отсутствовать видимо какой тариф индивидуально подключить терминал понимать понять предложить вариант актуально вариант тариф идти эквайринг ваш новый оборудование технический поддержка оборудование своевременный далее либо рассмотреть услуга оплата здравствуйте услуга оплата ход принимать оплата карта_сбербанк банк персональный код размещаться клиент высчитывать мобильный приложение сбербанк онлайн симка оплачивать соответственно товар средство приходить услуга комиссия небольшой эквайринг обычный рассматривать пересылать абсолютно карта э комиссия идти э зависимость какой оборот предыдущий месяц автоматически пересчитываться хотеть рассчитать зависимость повториться оборот терминал рубль месяц получаться платить тысяча рубль комиссия точнее комиссия рубль сервисный плата плюс комиссия оборот точнее рубль сервис неоплата плюс процент комиссия оплата просить прощение оплатить процент какой оборот оборудование предоставить например клиент рубль рубль поступать расчётный счёт комиссия мочь платить условие оборот высокий поэтому оборот происходить ориентировать суммарно выгодно понять смотреть любой случай единственный примерно наоборот получаться неактуальный контакт смс номер направить какой вопрос возникать связываться работать ваш рада помочь помочь какой продукт услуга подключить необходимо какой текущий вопрос понимать важно издержка учитывать расход написать москва оплачивать возможность предоставить возможно регион сбербанк терминал бесконтактный оплата период попасть приносить равно изменение банк мочь предоставить нормально получиться понять понимать равно ведение деятельность очередь важно клиент ваш комфортно появиться желание помочь рассмотреть какой вариант приемлемый данный добрый,Открытие банковского счета,Эквайринг
9784,добрый_день звать виктория пляска менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно разговаривать хотеть уточнить буквально вопрос ранее открывать расчётный счёт наш банк последний стать активный пользоваться пользоваться счёт друг банк сказать связать устраивать целое планировать пользоваться необходимость правильно понять к вопрос возникнуть интересовать обслуживание целое сожаление дать информация конфиденциальный предоставляться соединить специалист либо мочь проверить моментальный карта бесплатный мочь оформлять новый ваш необходимость захотеть смочь выпустить мочь соответственно карта терминал либо банкомат карта вставить пополнить перевести наличный либо самоинкассация самый касаться бесплатный абсолютно услуга подходить банк получаться самоинкассация логин пароль сбербанк_бизнес_онлайн веб версия компьютер далее подходить терминал вводить логин пароль денежный_средство вносить комиссия внесение бизнес карта бессрочный бессрочный какой вопрос возникнуть интересный свидание,Открытие банковского счета,Бизнес-карта
9804,звонить ранее просить перезвонить минута удобно занять пара минута ваш звонить представитель организация ооо содействие бизнес цель точнее сказать рамка ваш деятельность работать сотрудник штат услуга возможно актуально хотеть предложить услуга зарплатный_проект помощь зарплатный_проект смочь выплачивать зарплата карта сотрудник один реестр снизить расход сэкономить удобно годовой_обслуживание классический карта ваш сотрудник бесплатный золотой классический золотой скидка помимо ваш сотрудник появиться возможность льготный ипотека кредитование ипотека среднее минус полпроцент услуга подключаться бесплатный сервисный платить уточнить подойти получать обратный связь неактуальный понять отметить данный информация будущее появиться потребность перевод денежный_средство ваш сотрудник мочь звонить рад помочь сказать вопрос юридический_лицо продукт услуга_банка возможно обслуживание расчётный счёт продукт услуга определённый интересовать понять открытие расчётный счёт открыть зарезервировать расчётный счёт абсолютно дистанционно пакет_услуга мочь подобрать удобный открытие расчётный счёт каждый клиент бесплатно услуга юрист бизнес сервис подбор персонал точка зависимость услуга предоставить бизнес карта актуально уточнить условие уточнить информация подобрать удобно условие удобно рассчитать комиссия подробно рассказать цифра понять подбирать базовый тариф самый стандарт иметь бесплатный уточнить понять самый пакет_услуга скрываться который мочь предложить отключаться абсолютно бесплатно называться лёгкий старт абонентский плата взиматься предоставить моментальный бизнес_карта положить бесплатный обслуживание_карта карта именной помимо абонентский абонентский плата приём зачисление наличный средство счёт касса процент сумма касса сбербанк выдача наличный счёт бизнес карта банкомат терминал касса пао сбербанк процент минимум рубль рубль процент слышать повод платёжный поручение выдать условие предоставляться пакет_услуга платёжный поручение платёжный поручение внутри сбербанк ваш контры контрагент находиться сбербанк контрагент сбербанк неограниченный количество платёжный поручение внешний платёж платёж сторонний банк месяц платёжный поручение бесплатно далее рубль платёж перевод средство счёт физический_лицо юридический_лицо точнее счёт физический_лицо полпроцент рубль процент рубль вынесение наличный вечером устройство самообслуживание бизнес карта целый сотый процент сумма следующий тариф идти называться набирать оборот стоимость рубль месяц предоставить стандартный бизнес_карта дебетовый бесплатный обслуживание приём зачисление наличный средство счёт касса отстать рубль включительно целый сотка процент сумма минимум рубль свыше тысяча рубль целый сотка процент сумма выдача наличный счёт бизнес карта терминал касса пао сбербанк процент минимум рубль рубль процент выдача наличный расчётный счёт половина процент минимум рубль рубль половина выше доступно неограниченный количество платёжный поручение внутри банк внешний платёж платёж просить прощение платёжный поручение бесплатный далее рубль платёж внесение внесение счёт устройство самообслуживание бизнес карта целый процент смс информирование бесплатный э отправить э электронный_почта тариф ссылка сайт мочь мочь ознакомиться доступный тариф услуга предоставляться помимо смс сообщение подробный информация поступить номер указать контактный дать смс сообщение направить уточнить адрес_электронный_почта актуальный который смочь направить отметить ю дефис собака яндекс подробный информация поступить близкий сказать перезвонить уточнение ваш решение отметить форма пятница отметить информация перезвонить уточнить решение добрый хороший отдать хороший день,Зарплатные проекты,Открытие банковского счета
9812,менеджер_сбербанк бизнес_онлайн сказать обращаться уточнить деньга предложение хотеть задать вопрос полезный связаться обсудить предложение услуга_банка сказать телефон оканчиваться телефон перезвонить конец оканчиваться перезвонить телефон добрый свидание,Эквайринг,Бизнес-карта
9824,добрый_день сбербанк_клиентский_менеджер получить оставлять сайт банк ранее общаться коллега открытие расчётный счёт открытие расчётный счёт планировать расчётный счёт открывать какой вопрос иметься зарплатный_проект наш банк требоваться возможность мочь режим разговор занять рассказать условие подключить зарплатный_проект сбербанк к какой вопрос добрый свидание свидание,Открытие банковского счета,Зарплатные проекты
9825,добрый_день просить прощение спрашивать просить прощение звать персональный_менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно разговаривать буквально минута ваш предложение хотеться обсудить открыть расчётный счёт сбербанк последний выставль активно пользоваться расчётный счёт сказать сказать подобрать пакет_услуга ваш бизнес действовать действовать пакет_услуга услуга обновить позволить задать вопрос подобрать оптимальный пакет_услуга рассказать условие сказать платёжный поручение месяц совершать исходящий денежный_средство э переводить счёт физический_лицо необходимость число месяц сумма мочь примерно сориентировать здравствуйте пополнять расчётный счёт наличные необходимость сказать перечислять безналичный правильно понимать озвучить параметр рекомендовать пакет_услуга идти лёгкий старт включить платёжный поручение сторонний банк неограниченный количество насчитать сбербанк перевод средство счёт физический_лицо рубль месяц комиссия операция сверх ключ объём оплачиваться дополнительно пакет_услуга включить моментальный бизнес карта новый полезный услуга юрист бизнес сервис подбор персонал точка открытие ведение счёт идти бесплатный пакет_услуга лёгкий старт оставаться бесплатный протяжение срок действие устраивать прекращать действие случай открыться расчётный счёт сбербанк либо самостоятельно мочь поменять поменять пакет открыть расчётный счёт действовать доступ интернет банк сбер бизнес поменять пакет_услуга возможность зайти руль мобильный версия мочь уточнить момент поменять пакет_услуга мобильный версия правило менять интернет банк компьютер минута оставаться линия ожидание сожаление мобильный версия поменять пакет_услуга возможность мочь интернет версия перезвонить помочь оформить мочь связаться контакт прийти мобильный телефон номер работать будни рабочий э мочь позвонить доступ компьютер оформить интернет банк сбер бизнес цель безопасность написать заявление подойти офис оформить единственный возможно услуга платный интернет банк сбер бизнес бесплатно забыть пароль помнить открывать расчётный счёт электронный_почта приходить пароль мочь восстановить либо восстановить режим разговор компьютер заходить сайт друг поисковик набирать сбербанк официальный сайт малый бизнес перевод выше рубль счёт физический_лицо комиссия комиссия перевод свыше составить процент свыше свыше безналичный безналичный поступление комиссия взиматься полный объём подать расчётный счёт перевод крупный сумма подключить зарплатный_проект сбербанк бизнес карта мочь пользоваться бизнес_карта карта оформить пакет_услуга мочь оформить моментальный бизнес карта срок э обслуживание срок действие предложить альтернативный вариант подключить зарплатный_проект подключить сотрудник правильно понимать многий предприниматель совет оформить зарплатный_проект перевод личный_карта карта_сбербанк подключаться зарплатный_проект рубль месяц комиссия смочь переводить дополнительно тот сумма который расчётный счёт карта_физический_лицо переводить верно перевод выбор перевод средство личный счёт зачисление происходить быстро плюс оплата обслуживание классический карта отменяться полностью снижаться оформить дистанционно стоить соединять зарплатный_проект оплачивать обслуживание наверняка подавать бесплатный мочь присоединить карта соответственно дебетовый правильно карта физический_лицо делать дополнительный перевод зарплатный_проект бесплатно подключаться поступление например оказать услуга тысяча рубль мочь пользоваться зарплатный_проект переводить осуществляться подсказать зарплатный_проект подключить э мобильный версия компьютер зарплатный_проект позволить направить смс инструкция подключение подключение дать позволить буквально минута уточнить сфера деятельность работать физический_лицо безналичный путём денежный_средство правильно понимать озвучить понять какой вопрос данный момент простить информация направить звонить помочь рабочий вечером позвонить помочь оформить смена услуга уделить добрый дорога,Эквайринг,Зарплатные проекты
9843,другой добрый_день сбербанк_бизнес звонить федеральный предприниматель удобно такой случай пара минута ваш информация хотеться обсудить пара вопрос задать установить торговый_эквайринг сбербанк верно предыдущий период терминал сбербанк проводить основное карта_сбербанк сказать карта банк проводить чистить другой банк случай сторонний терминал сторонний терминал другой банк наш пользоваться миллион будущее понадобиться помощь установка дополнительный оборудование услуга платить мочь связаться помочь например расширение сотрудничество работать отдать сотрудник иметься советовать оформить зарплатный_проект перевод личный_карта денежный_средство смочь личный_карта сбербанк подключить зарплатный_договор рубль месяц какой либо комиссия переводить дополнение тот сумма который расчётный счёт карта_физический_лицо мочь переводить комиссия лимит увеличиваться перевод денежный_средство карта обращать внимание перевод код перевод средство наличный счёт поскольку являться официально трудоустроить сотрудник мать являться разумеется заработный_плата доход налоговый платить перевод пояснение помимо зачисление происходить быстро рабочий будни истечение минута значительно быстрый плюс оплата обслуживание классический карта полностью отменяться необязательно пускать новый переводить иметься карта предоставлять бесплатно комфортно работать вопрос задавать вопрос разъяснить понять информация указать давать такой образ интересно ведение счёт преимущество предложить хороший условие создавать уточнять вопрос исходить ваш потребность понимать мочь подковать данный случай создавать уточнять вопрос исходить ваш потребность озвучивать ключевой момент позволить оценить преимущество наш банк поэтому желание скажем рассмотреть расчётный касса обслуживание качество резервный счёт пробовать мочь озвучить условие наверняка конкурентоспособный сравнение банк обслуживать предлагать поступить отправить тариф контактный дать консультация дистанционно оформление быстро помочь мочь ознакомиться тариф предлагать связаться половина следующий неделя обсудить считать отправить ссылка телефон перевести раздел открытие расчётный счёт тариф ознакомиться понять важно мочь перезвонить задать какой вопрос ответить разъяснить какой вопрос к безусловно предлагать следующий четверг число э ориентировочно обед обед мочь назначить дата предположить ориентировочно перезвонить активность закрывать вопрос нету благодарить беседовать следующий неделя успех свидание,Открытие банковского счета,Зарплатные проекты
9847,добрый_день персональный_менеджер_сбербанк бизнес звонить индивидуальный_предприниматель удобно расслышать вчера звонить верно вещь вчера вчера возможность продолжить разговор один предложение позволить озвучить повторить давать перезвонить удобный возможно заинтересовать перезвонить благодарить хороший день,Зарплатные проекты,Бизнес-карта
9859,добрый_день сбербанк ранее разговаривать удобно продолжить понять говорить расчётный счёт открыть сторонний банк правильно сказать удобно везти понять мочь предложить расчётный счёт обновиться пакет_услуга бесплатный счёт тариф пакет_услуга ограниченный комиссия поступление денежный_средство расчётный счёт комиссия взиматься рассказать какой выгодный предложение мочь сравнить свой банк удобно потребность наглядно адрес_электронный_почта отправить ссылка удобно такой случай мочь уточнить актуальный адрес_электронный_почта добавить ваш карточка работать разный база мой сожаление адрес_электронный_почта указать озвучить добавить навигация провести сайт банк раздел малый бизнес ип левый сторона сверху расчётный счёт нажимать смотреть нажимать открыть расчётный счёт спускаться представить пакет_услуга актуально смочь подобрать ооо какой тариф сравнить ваш банк возможно актуально понять такой случай дополнительно отметить ваш удалённый персональный_менеджер номер отправить контактный дать мочь к дальнейший обращаться любой вопрос большинство продукт_банка подключить дистанционно рада помочь вопрос уделить хороший день свидание,Зарплатные проекты,Открытие банковского счета
9869,добрый_день звать система сбербанк_бизнес обсудить юридический_лицо удобно разговаривать ранее консультироваться открытие расчётный счёт уточнить расчётный счёт сбербанк открыть бизнес карта коллега выдать открытие расчётный счёт получать вопрос какой дополнительный уделить свидание добрый,Бизнес-карта,Открытие банковского счета
9870,добрый_день клиентский_менеджер сбер бизнес звонить индивидуальный_предприниматель удобно занять минута уделить предложение хотеться озвучить сервисный звонок совершать хотеть уточнить неактивный пользоваться зарплатный_проект сервис подключить связать какой вопрос закрыть окончательный решение закрытие понять вопрос продукт услуга_банка будущее деятельность возобновляться обращаться рада сотрудничать контакт направить вопрос номер поступить контакт нужный помощь дальнейший оформить услуга_банка вопрос звонить большинство услуга дистанционный оформлять информировать рад помочь хороший день свидание,Эквайринг,Зарплатные проекты
9894,добрый_день сбер бизнес клиентский_менеджер звонить организация космос удобно буквально прям пара минута тема ваш сказать устраивать сотрудник сбербанк работать обслуживание расчётный счёт дальнейший желание получение возникнуть сервис услуга смочь обратиться к благодарить обратный связь текущий момент уделить добрый свидание,Открытие банковского счета,Зарплатные проекты
9904,добрый_день звать сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно разговаривать хотеть поговорить банковский обслуживание ваш дистанционно персональный_менеджер уточнить вопрос понятно формирование платёжный поручение использование интернет банк сбер бизнес такой случай возникнуть вопрос мочь позвонить короткий номер почта направленный письмо ссылка раздел сайт работа расчётный счёт список основный контакт требоваться продублировать понять будущее мочь обращаться к поскольку дистанционно персональный_менеджер номер который разговаривать поступить контактный дать номер рада помочь иметься какой либо вопрос дополнительный хороший день добрый свидание,Бизнес-карта,Открытие банковского счета
9905,добрый_день сбербанк_бизнес_онлайн менеджер звонить предприниматель поговорить сбербанк блок сбер бизнес менеджер ранее разговаривать говорить потребоваться онлайн касса стадия принять решение хотеть уточнить нужный предлагать поступить следующий образ лишний беспокоить номер смс направить контактный дать потребоваться самостоятельно смочь позвонить понять к вопрос благодарить уделить хороший вечер свидание,Эквайринг,Бизнес-карта
9916,персональный_менеджер_сбербанк бизнес звонить организация ремонт железный подсказать отношение дать организация вопрос банковский обслуживание подсказать хотеть уточнить обслуживание услышать информация актуализировать свидание,Открытие банковского счета,Бизнес-карта
9944,добрый_день сбербанк_бизнес клиентский_менеджер звонить организация средний образовательный школа интеллект сервис удобно говорить хотеться уточнить такой информация касательно ваш организация последний выставить активно пользоваться наш расчётный счёт хотеть уточнить возможно вопрос возникнуть пользоваться счёт сторонний банк понять другой контакт отвлекать возможно данный какой вопрос касаться,Зарплатные проекты,Открытие банковского счета
9959,здравствуйте обращаться доступ иметься сбер бизнес доступ сбербанк_бизнес_онлайн отсутствовать консультация линия произвести звать называть верно переводить клиент проверить информация свидание добрый_день звать обращаться иметься доступ система сбербанк_бизнес_онлайн пользоваться понять понять понять ваш вопрос сожаление система допустить просмотр прохождение линия поддержка проводиться способ либо код клиент программа сбер бизнес либо последний цифра один успешный расходный операция необходимо назвать понять понять сожаление дать вопрос подсказать смочь мочь обратиться отделение_банка работа юридический_лицо уточнение дать информация дать понять данный момент просмотреть информация передать индифика система уточнение информация мочь обратиться линия линия поддержка отделение_банка работа юридический понять право дальнейший уточнение информация мочь обратиться отделение_банка аутентификация информация предоставить линия понять подробный информация отделение_банка сожаление помочь смочь задолженность понять обзвон наверное происходить сторона мера задолженность понять далее мой обратиться объяснить мочь проверить узнать должный понять сторона порекомендовать уточнить информация отделение_банка иметься закрыть дать расчётный счёт дальнейший исключить обзор далее отделение отделение_банка уточнить информация основание какой документ открыть федеральный закон расчётный счёт понять счёт являться расчёт считаться понять иметься задолженность закрытие счёт бесплатный производиться задолженность услышать дальнейший рекомендовать обратиться отделение_банка право добрый удачный день звать персональный сбербанк_клиентский_менеджер бизнес организация сказать обращаться являться представитель организация минута ваш предложение хотеться обсудить сказать обращаться приятно проинформировать позволить уточнить поступить информация компания стать активный э расчётный счёт открыть сбербанк сказать связать открыть расчётный счёт сбербанк неактивный стать пользоваться сказать расчётный счёт друг банк правильно понимать сказать информация счёт открыть интересовать детальный информация ваш счёт перевести линия операционный поддержка сотрудник проинформировать сожаление возможность детальный информация счёт удобно какой образ поступить пообщаться перевести перевести перезвонить удобный хотеть повод счёт поговорить причина активный пользоваться какой вопрос обслуживание взаимодействие банк дать вопрос проинформировать мой коллега отделение операционный поддержка перевести день сказать перезвонить дать вопрос вопрос взаимодействие вопрос понять продолжить диалог необходимо персональный информация счёт сожаление предоставить предоставить мой коллега предлагать поступить следующий образ перевести линия информация уточнить продолжить диалог мочь перезвонить диалог продолжить любой случай получиться перезвонить понедельник половина день перезвонить линия перевести понять линия перевести какой понедельник удобно продолжить разговор перевести линия операционный поддержка возможность записать номер_телефон дальнейший вопрос подобный характер возникать комиссия списание расчётный счёт мочь обращаться самостоятельно короткий номер_телефон мобильный устройство добавочно цифра работать круглосуточно контактный дать отправить номер напомнить ваш отдалить персональный_менеджер вопрос возникать услуга тариф банк мочь к обращаться час московский сформировать большинство услуга оформляться перевести дозвон суть обращение сотрудник объяснить понедельник час утро московский удобно перезвонить звонок перенести удобно смс сообщение контактный минута номер звонить заканчиваться отправлять контактный дать уделить переводить добрый свидание понедельник здравствуйте звать управление удалённый продажа общаться клиент прийти представлять организация общество ограниченный ответственность следующий характер открыть расчётный счёт какой статус находиться расчётный счёт задолженность общий э клиент достаточно широкий инспектор вопрос уточнять информация озвучить напомнить обращаться звать приятно клиент связанный комиссия начислить уточнить статус счёт периметр смочь проконсультировать клиент дать вопрос перевести добрый свидание,Эквайринг,Открытие банковского счета
